step,n_features,removed,coherent_kept_rate,precision,precision_lcb,coverage,recall,chosen_t
0,18,(none),0.064357,0.918879,0.809206,0.069988,0.105863,0.865000
1,17,bracket_imbalance_abs,0.064357,0.918879,0.809206,0.069988,0.105863,0.865000
2,16,paren_imbalance_abs,0.064357,0.918879,0.809206,0.069988,0.105863,0.865000
3,15,uniq_token_ratio,0.096261,0.907474,0.812912,0.108594,0.156764,0.865000
4,14,run_norm_35,0.068111,0.915679,0.808054,0.074278,0.112016,0.870000
5,13,punct_ratio,0.102159,0.901141,0.810689,0.115565,0.166298,0.850000
6,12,rep_2gram,0.102963,0.904208,0.814295,0.116369,0.167545,0.850000
7,11,spike_frac_50,0.090362,0.923529,0.814938,0.103500,0.146342,0.870000
8,10,digit_ratio,0.083394,0.913405,0.817143,0.092779,0.135884,0.860000
9,9,upper_ratio,0.067851,0.936146,0.820135,0.074556,0.110631,0.855000
10,8,top1_minus_true_mean,0.057927,0.928001,0.814113,0.063022,0.095057,0.865000
11,7,top1_prob_mean,0.070524,0.923580,0.822033,0.077228,0.115753,0.855000
12,6,p99,0.070524,0.923580,0.822033,0.077228,0.115753,0.855000
13,5,rep_1gram,0.096835,0.913347,0.821462,0.109445,0.159657,0.845000
14,4,max_surp,0.049338,0.956204,0.825696,0.052824,0.081194,0.890000
15,3,spike_frac_35,0.073468,0.930583,0.829970,0.079903,0.120161,0.845000
16,2,n_tokens,0.086868,0.895836,0.769414,0.101882,0.142597,0.775000
