threshold,coverage_mean,coverage_std,precision_mean,precision_std,precision_lcb_mean,precision_lcb_std,recall_mean,recall_std,coherent_kept_rate_mean,coherent_kept_rate_std
0.000000,1.000000,0.000000,0.609544,0.012510,0.574064,0.012657,1.000000,0.000000,0.609544,0.012510
0.005000,1.000000,0.000000,0.609544,0.012510,0.574064,0.012657,1.000000,0.000000,0.609544,0.012510
0.010000,0.999732,0.000599,0.609710,0.012654,0.574228,0.012798,1.000000,0.000000,0.609544,0.012510
0.015000,0.998927,0.001469,0.610199,0.012513,0.574708,0.012660,1.000000,0.000000,0.609544,0.012510
0.020000,0.998658,0.001898,0.610362,0.012379,0.574866,0.012527,1.000000,0.000000,0.609544,0.012510
0.025000,0.998658,0.001898,0.610362,0.012379,0.574866,0.012527,1.000000,0.000000,0.609544,0.012510
0.030000,0.998658,0.001898,0.610362,0.012379,0.574866,0.012527,1.000000,0.000000,0.609544,0.012510
0.035000,0.998390,0.002401,0.610524,0.012253,0.575026,0.012403,1.000000,0.000000,0.609544,0.012510
0.040000,0.998122,0.002615,0.610691,0.012413,0.575190,0.012559,1.000000,0.000000,0.609544,0.012510
0.045000,0.997318,0.002510,0.610919,0.012986,0.575407,0.013131,0.999553,0.001000,0.609276,0.012798
0.050000,0.996513,0.002614,0.611148,0.013562,0.575625,0.013707,0.999105,0.002001,0.609008,0.013107
0.055000,0.995441,0.002437,0.611525,0.013155,0.575986,0.013317,0.998658,0.002001,0.608740,0.013350
0.060000,0.994636,0.002682,0.612018,0.013093,0.576470,0.013258,0.998658,0.002001,0.608740,0.013350
0.065000,0.994100,0.003088,0.612350,0.013118,0.576796,0.013282,0.998658,0.002001,0.608740,0.013350
0.070000,0.992491,0.003497,0.613346,0.013281,0.577774,0.013442,0.998658,0.002001,0.608740,0.013350
0.075000,0.991150,0.004506,0.614184,0.013677,0.578598,0.013830,0.998658,0.002001,0.608740,0.013350
0.080000,0.990346,0.003719,0.614695,0.014436,0.579102,0.014582,0.998658,0.002001,0.608740,0.013350
0.085000,0.988737,0.004301,0.615699,0.014630,0.580089,0.014775,0.998658,0.002001,0.608740,0.013350
0.090000,0.988201,0.004869,0.616035,0.014667,0.580419,0.014811,0.998658,0.002001,0.608740,0.013350
0.095000,0.987665,0.004776,0.616091,0.014624,0.580466,0.014777,0.998210,0.002917,0.608471,0.013666
0.100000,0.986592,0.006068,0.616766,0.014723,0.581130,0.014871,0.998210,0.002917,0.608471,0.013666
0.105000,0.985788,0.006257,0.617276,0.015035,0.581632,0.015181,0.998210,0.002917,0.608471,0.013666
0.110000,0.983642,0.007181,0.618633,0.015420,0.582966,0.015559,0.998210,0.002917,0.608471,0.013666
0.115000,0.982837,0.007548,0.619147,0.015760,0.583473,0.015895,0.998210,0.002917,0.608471,0.013666
0.120000,0.981228,0.007030,0.620148,0.015180,0.584456,0.015328,0.998210,0.002917,0.608471,0.013666
0.125000,0.979350,0.007133,0.621058,0.015154,0.585342,0.015311,0.997763,0.003164,0.608203,0.013918
0.130000,0.977742,0.006745,0.622076,0.015036,0.586343,0.015200,0.997763,0.003164,0.608203,0.013918
0.135000,0.976400,0.007739,0.622665,0.015116,0.586915,0.015268,0.997329,0.002920,0.607935,0.013694
0.140000,0.974523,0.008997,0.623588,0.015113,0.587816,0.015269,0.996882,0.003748,0.607667,0.014016
0.145000,0.972110,0.008763,0.624857,0.014566,0.589055,0.014721,0.996454,0.003410,0.607399,0.013550
0.150000,0.970769,0.008011,0.625450,0.014654,0.589631,0.014802,0.996027,0.003322,0.607131,0.013096
0.155000,0.969160,0.008589,0.626489,0.014570,0.590654,0.014717,0.996027,0.003322,0.607131,0.013096
0.160000,0.966209,0.009314,0.628154,0.016019,0.592289,0.016154,0.995582,0.002758,0.606863,0.013209
0.165000,0.965137,0.009486,0.628292,0.015690,0.592409,0.015825,0.994704,0.002044,0.606326,0.013108
0.170000,0.963796,0.010083,0.629179,0.016186,0.593284,0.016315,0.994704,0.002044,0.606326,0.013108
0.175000,0.961114,0.011100,0.630681,0.016786,0.594757,0.016898,0.994277,0.001999,0.606058,0.012645
0.180000,0.957897,0.012454,0.632550,0.017668,0.596594,0.017766,0.993843,0.001854,0.605790,0.012412
0.185000,0.956557,0.012452,0.633176,0.018664,0.597206,0.018764,0.993399,0.001588,0.605522,0.012568
0.190000,0.954948,0.011786,0.633674,0.018406,0.597681,0.018510,0.992524,0.001172,0.604986,0.012331
0.195000,0.952534,0.012670,0.635303,0.019162,0.599290,0.019260,0.992524,0.001172,0.604986,0.012331
0.200000,0.951193,0.012706,0.635919,0.019488,0.599890,0.019594,0.992076,0.002005,0.604717,0.012645
0.205000,0.948511,0.013295,0.637430,0.018971,0.601371,0.019071,0.991642,0.001851,0.604449,0.012413
0.210000,0.945024,0.013872,0.638372,0.019219,0.602261,0.019318,0.989442,0.000958,0.603108,0.012355
0.215000,0.943684,0.013509,0.639274,0.019140,0.603151,0.019246,0.989442,0.000958,0.603108,0.012355
0.220000,0.942343,0.014596,0.639922,0.019619,0.603784,0.019712,0.989008,0.001474,0.602840,0.012147
0.225000,0.941002,0.014095,0.640829,0.019605,0.604680,0.019707,0.989008,0.001474,0.602840,0.012147
0.230000,0.938321,0.012433,0.642055,0.019239,0.605873,0.019374,0.988113,0.002571,0.602304,0.012762
0.235000,0.935639,0.012684,0.642471,0.019125,0.606242,0.019248,0.985930,0.003314,0.600963,0.012186
0.240000,0.933761,0.013297,0.643485,0.019009,0.607235,0.019118,0.985503,0.003584,0.600695,0.011724
0.245000,0.930812,0.015125,0.644392,0.019122,0.608099,0.019213,0.983754,0.005186,0.599623,0.011526
0.250000,0.928130,0.013792,0.645368,0.018868,0.609038,0.018978,0.982431,0.005045,0.598817,0.011541
0.255000,0.926522,0.013486,0.646201,0.018744,0.609853,0.018850,0.982004,0.005304,0.598549,0.011069
0.260000,0.924109,0.014045,0.646448,0.018720,0.610056,0.018813,0.979821,0.006627,0.597209,0.010614
0.265000,0.921427,0.014941,0.647779,0.019515,0.611358,0.019598,0.978949,0.006216,0.596672,0.010166
0.270000,0.917942,0.015491,0.649091,0.019569,0.612623,0.019633,0.977216,0.006945,0.595600,0.009086
0.275000,0.916333,0.016151,0.649952,0.019660,0.613467,0.019712,0.976789,0.007684,0.595332,0.008667
0.280000,0.914456,0.017937,0.651031,0.020312,0.614528,0.020348,0.976355,0.007940,0.595064,0.008432
0.285000,0.912847,0.017493,0.650994,0.019841,0.614456,0.019870,0.974605,0.007730,0.593991,0.007828
0.290000,0.908556,0.017196,0.652288,0.019789,0.615687,0.019829,0.971957,0.007366,0.592382,0.008106
0.295000,0.906410,0.016558,0.653226,0.019433,0.616596,0.019479,0.971082,0.007936,0.591846,0.008019
0.300000,0.903460,0.015193,0.654435,0.018566,0.617765,0.018625,0.969763,0.007886,0.591041,0.007939
0.305000,0.899438,0.016494,0.655889,0.018744,0.619164,0.018793,0.967573,0.008820,0.589700,0.007676
0.310000,0.895416,0.017874,0.657687,0.020044,0.620915,0.020084,0.965820,0.008905,0.588628,0.007321
0.315000,0.893271,0.018887,0.658396,0.020656,0.621594,0.020686,0.964511,0.009696,0.587823,0.007004
0.320000,0.890590,0.019949,0.659201,0.021191,0.622360,0.021212,0.962752,0.009634,0.586751,0.006969
0.325000,0.887104,0.017876,0.660215,0.019827,0.623316,0.019872,0.960548,0.010107,0.585410,0.007407
0.330000,0.882813,0.019141,0.661304,0.019241,0.624334,0.019255,0.957497,0.012336,0.583533,0.006907
0.335000,0.878791,0.018833,0.663093,0.018394,0.626070,0.018400,0.955761,0.013730,0.582460,0.006301
0.340000,0.874233,0.019979,0.665339,0.018430,0.628264,0.018425,0.954019,0.015179,0.581388,0.006334
0.345000,0.871282,0.021676,0.665761,0.017965,0.628629,0.017916,0.951415,0.017652,0.579779,0.006199
0.350000,0.867259,0.020897,0.667905,0.017588,0.630729,0.017551,0.950096,0.017342,0.578975,0.005837
0.355000,0.862433,0.019082,0.669135,0.017359,0.631881,0.017340,0.946568,0.015542,0.576830,0.004371
0.360000,0.859216,0.020141,0.669792,0.018407,0.632483,0.018406,0.943911,0.015685,0.575221,0.005994
0.365000,0.855193,0.019416,0.670730,0.018827,0.633353,0.018868,0.940796,0.014683,0.573343,0.007418
0.370000,0.851170,0.017954,0.672906,0.017523,0.635484,0.017579,0.939473,0.014546,0.572538,0.007394
0.375000,0.848219,0.017667,0.673978,0.017987,0.636516,0.018071,0.937687,0.013298,0.571465,0.008020
0.380000,0.843124,0.018030,0.675175,0.017470,0.637623,0.017554,0.933737,0.014885,0.569052,0.008521
0.385000,0.840711,0.018532,0.674880,0.017799,0.637266,0.017896,0.930635,0.014697,0.567175,0.009425
0.390000,0.836420,0.017524,0.677355,0.016611,0.639698,0.016699,0.929336,0.014824,0.566371,0.008521
0.395000,0.831325,0.018282,0.679263,0.017332,0.641534,0.017436,0.926260,0.016190,0.564494,0.009190
0.400000,0.827303,0.018204,0.681234,0.016936,0.643458,0.017079,0.924491,0.017833,0.563422,0.010633
0.405000,0.824622,0.019325,0.682817,0.017383,0.645017,0.017525,0.923616,0.018777,0.562885,0.011016
0.410000,0.820331,0.018607,0.683438,0.016868,0.645551,0.016998,0.919676,0.018941,0.560472,0.010345
0.415000,0.815771,0.016558,0.685228,0.016204,0.647277,0.016392,0.917008,0.018440,0.558863,0.011098
0.420000,0.812286,0.016883,0.685831,0.015600,0.647809,0.015809,0.913933,0.020292,0.556986,0.012067
0.425000,0.807995,0.015792,0.687807,0.016649,0.649736,0.016910,0.911705,0.019428,0.555646,0.012525
0.430000,0.801559,0.015608,0.690611,0.014863,0.652451,0.015137,0.908178,0.019582,0.553501,0.012814
0.435000,0.797268,0.015357,0.690604,0.015587,0.652341,0.015922,0.903323,0.021068,0.550551,0.014093
0.440000,0.792441,0.016426,0.691468,0.016123,0.653109,0.016417,0.898946,0.021109,0.547869,0.013406
0.445000,0.789223,0.014580,0.692233,0.015610,0.653814,0.015906,0.896308,0.019901,0.546260,0.012651
0.450000,0.784933,0.015983,0.693668,0.015663,0.655181,0.015899,0.893267,0.020296,0.544383,0.011600
0.455000,0.777960,0.016192,0.696765,0.015853,0.658186,0.016133,0.889294,0.021290,0.541969,0.012628
0.460000,0.773133,0.017256,0.698729,0.016344,0.660083,0.016587,0.886225,0.020790,0.540092,0.011921
0.465000,0.768036,0.015594,0.701225,0.016688,0.662521,0.017014,0.883554,0.020870,0.538482,0.012941
0.470000,0.761065,0.017823,0.703815,0.017646,0.665007,0.017963,0.878740,0.022801,0.535533,0.013357
0.475000,0.756775,0.018140,0.705313,0.017299,0.666434,0.017628,0.875661,0.023427,0.533656,0.013727
0.480000,0.751680,0.017318,0.706826,0.016924,0.667856,0.017319,0.871698,0.025246,0.531243,0.014944
0.485000,0.744172,0.018492,0.707841,0.016463,0.668698,0.016826,0.864276,0.027734,0.526684,0.015010
0.490000,0.739076,0.020653,0.710225,0.016581,0.671017,0.016892,0.861238,0.029398,0.524807,0.015081
0.495000,0.734518,0.020671,0.710980,0.015877,0.671668,0.016161,0.856873,0.030153,0.522126,0.014752
0.500000,0.729960,0.021301,0.711014,0.017168,0.671580,0.017505,0.851575,0.030966,0.518908,0.015812
0.505000,0.724060,0.021685,0.712342,0.018981,0.672790,0.019425,0.846253,0.032150,0.515690,0.017608
0.510000,0.718160,0.022974,0.713270,0.016956,0.673571,0.017435,0.840517,0.033802,0.512204,0.019046
0.515000,0.713869,0.021427,0.714889,0.016670,0.675121,0.017202,0.837411,0.032761,0.510327,0.018887
0.520000,0.705018,0.018772,0.715454,0.016483,0.675449,0.017073,0.827700,0.030715,0.504427,0.018244
0.525000,0.698315,0.020131,0.716952,0.013212,0.676788,0.013715,0.821579,0.030808,0.500674,0.017532
0.530000,0.691610,0.021408,0.718034,0.013744,0.677705,0.014365,0.814935,0.032707,0.496650,0.019565
0.535000,0.687318,0.020351,0.718538,0.014724,0.678099,0.015498,0.810497,0.033768,0.493969,0.020908
0.540000,0.680883,0.021546,0.722970,0.014875,0.682487,0.015659,0.807886,0.035627,0.492361,0.021488
0.545000,0.674715,0.020938,0.723621,0.014563,0.682969,0.015347,0.801261,0.034074,0.488337,0.020969
0.550000,0.668279,0.022497,0.726552,0.014053,0.685800,0.014898,0.796871,0.036220,0.485656,0.022085
0.555000,0.659430,0.024409,0.728105,0.015143,0.687128,0.016125,0.788090,0.040528,0.480293,0.024385
0.560000,0.650313,0.026065,0.729570,0.017382,0.688353,0.018540,0.778821,0.044166,0.474661,0.026935
0.565000,0.642804,0.025682,0.730638,0.018055,0.689215,0.019158,0.770862,0.041737,0.469835,0.025999
0.570000,0.635294,0.027633,0.733838,0.016416,0.692278,0.017443,0.765194,0.042778,0.466348,0.025922
0.575000,0.627249,0.024997,0.736415,0.017581,0.694688,0.018638,0.758130,0.040114,0.462057,0.024620
0.580000,0.619741,0.021568,0.736655,0.017684,0.694681,0.018786,0.749327,0.037642,0.456695,0.023210
0.585000,0.610088,0.022364,0.739949,0.017857,0.697763,0.019012,0.740968,0.038578,0.451600,0.023719
0.590000,0.604187,0.019842,0.740979,0.019636,0.698633,0.020806,0.734790,0.036341,0.447845,0.022653
0.595000,0.596143,0.017212,0.744259,0.019412,0.701758,0.020566,0.728167,0.032712,0.443823,0.020920
0.600000,0.589975,0.016711,0.745214,0.019177,0.702523,0.020350,0.721541,0.031507,0.439800,0.020628
0.605000,0.583806,0.016766,0.747124,0.018599,0.704279,0.019774,0.715805,0.030456,0.436313,0.020297
0.610000,0.575493,0.015246,0.750479,0.019858,0.707470,0.021054,0.708783,0.029907,0.432023,0.019687
0.615000,0.564230,0.014009,0.751240,0.019435,0.707819,0.020573,0.695643,0.029291,0.423978,0.018287
0.620000,0.555918,0.013828,0.754325,0.020100,0.710714,0.021223,0.688139,0.027181,0.419420,0.017512
0.625000,0.547069,0.015349,0.754752,0.019178,0.710786,0.020308,0.677593,0.028396,0.412984,0.017926
0.630000,0.537684,0.016326,0.755530,0.020954,0.711210,0.022083,0.666604,0.028409,0.406280,0.017722
