feature,delta_coherent_kept_rate_mean,delta_coherent_kept_rate_std,delta_precision_mean,delta_precision_std,delta_precision_lcb_mean,delta_precision_lcb_std,delta_coverage_mean,delta_coverage_std,delta_recall_mean,delta_recall_std
p95,0.019629,0.005659,0.020319,0.020236,0.054596,0.019437,0.020219,0.006741,0.032240,0.009345
p99,0.018127,0.006047,0.021711,0.014340,0.052891,0.018878,0.018449,0.006393,0.029797,0.010077
max_surp,0.013031,0.006923,0.019854,0.023655,0.042807,0.016779,0.012495,0.007569,0.021322,0.011224
avg_nll,0.000911,0.010059,0.051490,0.025059,0.060347,0.035372,-0.003058,0.011388,0.001536,0.016252
rep_1gram,0.000590,0.001191,0.009347,0.011642,0.011585,0.015160,-0.000054,0.000640,0.000991,0.001968
run_norm_35,0.000215,0.001249,0.006495,0.006286,0.008280,0.008162,-0.000214,0.001128,0.000354,0.002071
rep_2gram,0.000214,0.001175,-0.000503,0.004712,-0.000624,0.006290,0.000268,0.001072,0.000353,0.001951
uniq_token_ratio,0.000214,0.000640,0.004706,0.009898,0.005779,0.011932,-0.000054,0.000993,0.000358,0.001063
paren_imbalance_abs,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
bracket_imbalance_abs,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
spike_frac_50,-0.000375,0.002548,0.011074,0.007565,0.011747,0.009586,-0.001341,0.002420,-0.000577,0.004177
upper_ratio,-0.002307,0.004284,0.023699,0.021548,0.024110,0.021791,-0.004452,0.005762,-0.003712,0.006899
punct_ratio,-0.002791,0.004819,0.011392,0.019305,0.009624,0.016603,-0.003865,0.006664,-0.004614,0.008019
top1_minus_true_mean,-0.005793,0.001684,0.049400,0.030362,0.050395,0.033425,-0.010782,0.004654,-0.009526,0.002875
digit_ratio,-0.006382,0.002378,0.015466,0.008156,0.011053,0.008483,-0.008259,0.003029,-0.010441,0.003717
top1_prob_mean,-0.006760,0.005076,0.039115,0.021805,0.037648,0.021511,-0.010622,0.006665,-0.011136,0.008496
spike_frac_35,-0.007564,0.007856,0.043810,0.025581,0.041712,0.025794,-0.011963,0.009729,-0.012299,0.012638
n_tokens,-0.019150,0.012648,0.197965,0.024125,0.191528,0.033823,-0.045805,0.012285,-0.031233,0.020406
