feature,delta_coherent_kept_rate_mean,delta_coherent_kept_rate_std,delta_precision_mean,delta_precision_std,delta_precision_lcb_mean,delta_precision_lcb_std,delta_coverage_mean,delta_coverage_std,delta_recall_mean,delta_recall_std
p95,0.023918,0.008710,0.009588,0.010707,0.030457,0.007933,0.025098,0.009087,0.039068,0.013716
p99,0.019896,0.004917,0.000360,0.010715,0.017146,0.014231,0.021880,0.006220,0.032560,0.007637
max_surp,0.016784,0.009255,0.022974,0.024339,0.038336,0.022647,0.015712,0.011276,0.027357,0.014746
avg_nll,0.003271,0.006560,0.041941,0.018346,0.049321,0.020976,-0.001341,0.008081,0.005225,0.010622
rep_1gram,0.000966,0.001375,0.011993,0.011992,0.014858,0.015391,-0.000161,0.000772,0.001604,0.002283
upper_ratio,-0.001449,0.004022,0.023686,0.028181,0.026768,0.033366,-0.003649,0.004437,-0.002346,0.006676
spike_frac_50,-0.002038,0.001659,0.009970,0.006989,0.010459,0.007494,-0.003861,0.003722,-0.003321,0.002645
top1_prob_mean,-0.002683,0.006259,0.032845,0.020082,0.035323,0.020602,-0.006599,0.007441,-0.004501,0.010363
n_tokens,-0.004562,0.013554,0.190434,0.053849,0.194675,0.053734,-0.036471,0.008978,-0.007789,0.022026
digit_ratio,-0.004881,0.001450,0.018145,0.007049,0.017782,0.007233,-0.007455,0.001763,-0.007988,0.002310
spike_frac_35,-0.004883,0.006196,0.036160,0.030550,0.038508,0.029506,-0.008906,0.008089,-0.007977,0.010251
top1_minus_true_mean,-0.007295,0.003831,0.035512,0.024886,0.035231,0.025400,-0.011962,0.004982,-0.012025,0.006415
