feature,weight_mean,weight_std,weight_mean_abs,sign_consistency
n_tokens,-0.900077,0.013934,0.900077,1.000
avg_nll,-0.294482,0.052234,0.294482,1.000
max_surp,-0.185568,0.029571,0.185568,1.000
spike_frac_35,-0.173198,0.055135,0.173198,1.000
p95,-0.170027,0.017775,0.170027,1.000
top1_prob_mean,0.166317,0.044587,0.166317,1.000
rep_1gram,0.165043,0.080313,0.165043,1.000
p99,-0.148299,0.020096,0.148299,1.000
top1_minus_true_mean,-0.146911,0.031360,0.146911,1.000
digit_ratio,0.134281,0.021029,0.134281,1.000
upper_ratio,-0.127314,0.035722,0.127314,1.000
rep_2gram,0.052735,0.046263,0.052735,1.000
spike_frac_50,0.051356,0.017259,0.051356,1.000
punct_ratio,-0.026029,0.039185,0.032356,0.800
run_norm_35,-0.005852,0.022158,0.017440,0.600
uniq_token_ratio,0.008336,0.019121,0.015898,0.600
paren_imbalance_abs,0.000000,0.000000,0.000000,0.000
bracket_imbalance_abs,0.000000,0.000000,0.000000,0.000
