feature,weight_mean,weight_std,weight_mean_abs,sign_consistency
n_tokens,-0.888297,0.025766,0.888297,1.000
avg_nll,-0.297956,0.051802,0.297956,1.000
max_surp,-0.183873,0.027714,0.183873,1.000
spike_frac_35,-0.173315,0.048845,0.173315,1.000
p95,-0.170891,0.015120,0.170891,1.000
top1_prob_mean,0.165787,0.045301,0.165787,1.000
rep_1gram,0.162048,0.080697,0.162048,1.000
top1_minus_true_mean,-0.148461,0.031490,0.148461,1.000
p99,-0.146211,0.018095,0.146211,1.000
upper_ratio,-0.141985,0.026080,0.141985,1.000
digit_ratio,0.128531,0.023541,0.128531,1.000
spike_frac_50,0.050454,0.017628,0.050454,1.000
